start_date,end_date,resolution,imbalance,system_trend,positive_imbalance_settlement_price,negative_imbalance_settlement_price,missing_data_list,updated_date,partition_day
2025-07-07 14:30:00.0000000 +00:00,2025-07-07 14:45:00.0000000 +00:00,PT15M,540,BAISSE,-19.05,-17.59,N/A,2025-07-14 12:28:10.0000000 +00:00,20250707
2025-07-07 14:45:00.0000000 +00:00,2025-07-07 15:00:00.0000000 +00:00,PT15M,496,BAISSE,-19.32,-17.84,N/A,2025-07-14 12:28:10.0000000 +00:00,20250707
2025-07-07 15:00:00.0000000 +00:00,2025-07-07 15:15:00.0000000 +00:00,PT15M,518,BAISSE,-19.42,-17.94,N/A,2025-07-14 12:28:10.0000000 +00:00,20250707
2025-07-07 15:15:00.0000000 +00:00,2025-07-07 15:30:00.0000000 +00:00,PT15M,406,BAISSE,-19.58,-18.08,N/A,2025-07-08 08:30:25.0000000 +00:00,20250707
2025-07-07 15:30:00.0000000 +00:00,2025-07-07 15:45:00.0000000 +00:00,PT15M,411,BAISSE,-19.12,-17.66,N/A,2025-07-14 12:28:10.0000000 +00:00,20250707
2025-07-07 15:45:00.0000000 +00:00,2025-07-07 16:00:00.0000000 +00:00,PT15M,288,BAISSE,-19.89,-18.37,N/A,2025-07-14 12:28:10.0000000 +00:00,20250707
2025-07-07 16:00:00.0000000 +00:00,2025-07-07 16:15:00.0000000 +00:00,PT15M,145,BAISSE,-12.77,-11.79,N/A,2025-07-08 08:30:26.0000000 +00:00,20250707
2025-07-07 16:15:00.0000000 +00:00,2025-07-07 16:30:00.0000000 +00:00,PT15M,87,BAISSE,-10.87,-10.03,N/A,2025-07-14 12:28:10.0000000 +00:00,20250707
2025-07-07 16:30:00.0000000 +00:00,2025-07-07 16:45:00.0000000 +00:00,PT15M,118,BAISSE,-8.63,-7.97,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 16:45:00.0000000 +00:00,2025-07-07 17:00:00.0000000 +00:00,PT15M,0,HAUSSE,16.86,18.26,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 17:00:00.0000000 +00:00,2025-07-07 17:15:00.0000000 +00:00,PT15M,203,BAISSE,26.74,28.96,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 17:15:00.0000000 +00:00,2025-07-07 17:30:00.0000000 +00:00,PT15M,99,BAISSE,40.88,44.26,N/A,2025-07-08 08:30:27.0000000 +00:00,20250707
2025-07-07 17:30:00.0000000 +00:00,2025-07-07 17:45:00.0000000 +00:00,PT15M,246,BAISSE,16.46,17.82,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 17:45:00.0000000 +00:00,2025-07-07 18:00:00.0000000 +00:00,PT15M,148,BAISSE,0.06,0.06,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 18:00:00.0000000 +00:00,2025-07-07 18:15:00.0000000 +00:00,PT15M,186,BAISSE,0.36,0.38,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 18:15:00.0000000 +00:00,2025-07-07 18:30:00.0000000 +00:00,PT15M,169,BAISSE,-5.04,-4.66,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 18:30:00.0000000 +00:00,2025-07-07 18:45:00.0000000 +00:00,PT15M,180,BAISSE,-6.23,-5.75,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 18:45:00.0000000 +00:00,2025-07-07 19:00:00.0000000 +00:00,PT15M,292,BAISSE,5.56,6.02,N/A,2025-07-08 08:30:27.0000000 +00:00,20250707
2025-07-07 19:00:00.0000000 +00:00,2025-07-07 19:15:00.0000000 +00:00,PT15M,209,BAISSE,3.11,3.37,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 19:15:00.0000000 +00:00,2025-07-07 19:30:00.0000000 +00:00,PT15M,197,BAISSE,-0.92,-0.84,N/A,2025-07-08 08:30:27.0000000 +00:00,20250707
2025-07-07 19:30:00.0000000 +00:00,2025-07-07 19:45:00.0000000 +00:00,PT15M,156,BAISSE,-5.34,-4.94,N/A,2025-07-14 12:28:11.0000000 +00:00,20250707
2025-07-07 19:45:00.0000000 +00:00,2025-07-07 20:00:00.0000000 +00:00,PT15M,245,BAISSE,1.6,1.74,N/A,2025-07-08 08:30:28.0000000 +00:00,20250707
2025-07-07 20:00:00.0000000 +00:00,2025-07-07 20:15:00.0000000 +00:00,PT15M,118,BAISSE,-5.21,-4.81,N/A,2025-07-14 12:28:12.0000000 +00:00,20250707
2025-07-07 20:15:00.0000000 +00:00,2025-07-07 20:30:00.0000000 +00:00,PT15M,71,BAISSE,-10.75,-9.93,N/A,2025-07-14 12:28:12.0000000 +00:00,20250707
2025-07-07 20:30:00.0000000 +00:00,2025-07-07 20:45:00.0000000 +00:00,PT15M,-11,HAUSSE,54.26,58.76,N/A,2025-07-14 12:28:12.0000000 +00:00,20250707
2025-07-07 20:45:00.0000000 +00:00,2025-07-07 21:00:00.0000000 +00:00,PT15M,85,BAISSE,44.02,47.66,N/A,2025-07-14 12:28:12.0000000 +00:00,20250707
2025-07-07 21:00:00.0000000 +00:00,2025-07-07 21:15:00.0000000 +00:00,PT15M,21,BAISSE,72.95,78.99,N/A,2025-07-14 12:28:12.0000000 +00:00,20250707
2025-07-07 21:15:00.0000000 +00:00,2025-07-07 21:30:00.0000000 +00:00,PT15M,91,BAISSE,43.06,46.62,N/A,2025-07-08 08:30:29.0000000 +00:00,20250707
2025-07-07 21:30:00.0000000 +00:00,2025-07-07 21:45:00.0000000 +00:00,PT15M,41,BAISSE,56.29,60.95,N/A,2025-07-14 12:28:12.0000000 +00:00,20250707
